circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
42-1,REGIS JUANICO,MAGALIE VIALLON,,SOC,REM,,0.2689066002845881,0.2558283449808668,,Davy Champion
42-2,JEAN-MICHEL MIS,ANDREE TAURINYA,,REM,FI,,0.3276516371351904,0.19167807818804133,,Davy Champion
42-3,FRANCOIS ROCHEBLOINE,VALERIA FAURE-MUNTIAN,,UDI,REM,,0.27758436452276636,0.2240762514300122,,Davy Champion
42-4,DINO CINIERI,DAVID KAUFFER,,LR,REM,,0.28827191893346527,0.25310307323690284,,Davy Champion
42-6,PAUL SALEN,JULIEN BOROWCZYK,,LR,REM,,0.3189917946445456,0.2810157342510671,,Davy Champion
43-1,CECILE GALLIEN,ISABELLE VALENTIN,,MDM,LR,,0.29155700315892374,0.186454994938903,,Davy Champion
43-2,JEAN-PIERRE VIGIER,PIERRE ETEOCLE,,LR,REM,,0.3196153191367145,0.2966916818220673,,Davy Champion
44-1,FRANCOIS DE RUGY,JULIEN BAINVEL,,REM,LR,,0.37039858432521977,0.19860486073238423,,Davy Champion
44-10,SOPHIE ERRANTE,JEROME GUIHO,,REM,LR,,0.361224981771256,0.20235072558909292,,Davy Champion
44-2,VALERIE OPPELT,CAROLE MALARD,,REM,FI,,0.31837784851475565,0.22109068986587385,,Davy Champion
44-3,ANNE-FRANCE BRUNET,MARTINE GOURDON,,REM,FI,,0.29216373883811364,0.21570147951446256,,Davy Champion
44-4,AUDE AMADOU,DOMINIQUE RAIMBOURG,,REM,SOC,,0.24644216652079323,0.22362279751946448,,Davy Champion
44-5,SARAH EL HAIRY,MICHEL MENARD,,MDM,SOC,,0.2864238511271499,0.2289056307482381,,Davy Champion
44-6,YVES DANIEL,ALAIN HUNAULT,,REM,LR,,0.38370616347797054,0.19127859364541683,,Davy Champion
44-7,SANDRINE JOSSO,FRANCK LOUVRIER,,REM,LR,,0.31461094428844716,0.25293946813249324,,Davy Champion
44-8,AUDREY DUFEU SCHUBERT,LIONEL DEBRAYE,,REM,FI,,0.33881301453718166,0.26012700939509253,,Davy Champion
44-9,YANNICK HAURY,MONIQUE RABIN,,MDM,DVG,,0.24990387598419747,0.22243249027176645,,Davy Champion
45-1,STEPHANIE RIST,CHARLES-ERIC LEMAIGNEN,,REM,LR,,0.3228548765680323,0.252498855822345,,Davy Champion
45-2,SERGE GROUARD,CAROLINE JANVIER,,LR,REM,,0.2943731054490938,0.279510469065193,,Davy Champion
45-3,CLAUDE DE GANAY,JIHAN CHELLY,,LR,REM,,0.3272302380556325,0.25481238582308885,,Davy Champion
45-5,MARIANNE DUBOIS,DAVID SIMONNET,,LR,REM,,0.2973169580543447,0.2699616261783969,,Davy Champion
45-6,RICHARD RAMOS,VALERIE CORRE,,MDM,SOC,,0.27303310269759434,0.2544466316725683,,Davy Champion
46-1,SEBASTIEN MAUREL,DOMINIQUE ORLIAC,,REM,RDG,,0.25687679878967423,0.2378115527742121,,Davy Champion
46-2,HUGUETTE TIEGNA,PIERRE DUFOUR,,REM,FI,,0.3490830524668432,0.23380424287417406,,Davy Champion
47-1,MICHEL LAUZZANA,LUCETTE LOUSTEAU,,REM,SOC,,0.23204022609634048,0.2316465319385822,,Davy Champion
47-2,MATTHIAS FEKL,ALEXANDRE FRESCHI,,SOC,REM,,0.24075451033289913,0.24049116042478996,,Davy Champion
47-3,JEAN-LOUIS COSTES,OLIVIER DAMAISIN,,LR,REM,,0.3095445889020528,0.270256371137016,,Davy Champion
48-1,PIERRE MOREL A L'HUISSIER,FRANCIS PALOMBI,,LR,REM,,0.29837067087939384,0.2725722743937753,,Davy Champion
49-1,MATTHIEU ORPHELIN,LUC BELOT,,REM,SOC,,0.2847362275626568,0.2532465529124121,,Davy Champion
49-2,STELLA DUPONT,MAXENCE HENRY,,REM,LR,,0.36394089701070437,0.24890558713147057,,Davy Champion
49-3,JEAN-CHARLES TAUGOURDEAU,ANNE BARRAULT,,LR,REM,,0.34298862859592827,0.2457344104327003,,Davy Champion
49-4,LAETITIA SAINT-PAUL,ERIC TOURON,,REM,UDI,,0.3023188981352341,0.28609697932176226,,Davy Champion
49-5,DENIS MASSEGLIA,KEVIN CERTENAIS,,REM,FI,,0.5068751001429922,0.12630432121571475,,Davy Champion
49-6,SERGE BARDY,NICOLE DUBRE-CHIRAT,,SOC,REM,,0.2876934291230275,0.25983478301582535,,Davy Champion
49-7,PHILIPPE BOLO,ETIENNE GLEMOT,,MDM,LR,,0.3270011518798039,0.2268341112094677,,Davy Champion
5-1,KARINE BERGER,PASCALE BOYER,,SOC,REM,,0.24756858377144705,0.22026208050970475,,Davy Champion
5-2,JOEL GIRAUD,CHANTAL EYMEOUD,,REM,UDI,,0.34475188514579835,0.20397698340129194,,Davy Champion
50-1,PHILIPPE GOSSELIN,BENOITE NOUET,,LR,REM,,0.35724849102159656,0.3084593458455919,,Davy Champion
50-2,GUENHAEL HUET,BERTRAND SORRE,,LR,REM,,0.360995249185145,0.2973314649174994,,Davy Champion
50-3,STEPHANE TRAVERT,JEAN-MANUEL COUSIN,,REM,LR,,0.37820862892095514,0.19503302651279367,,Davy Champion
50-4,BLAISE MISTLER,YVONNE PECORARO,,REM,FI,,0.3846120642773515,0.17391889649946804,,Davy Champion
51-1,VALERIE BEAUVAIS,SANDRINE VIGNOT,,LR,FN,,0.32432045209750887,0.2808304250258367,,Davy Champion
51-2,CATHERINE VAUTRIN-PENNAFORTE,AINA KURIC,,LR,REM,,0.35596143627708354,0.2999613730895516,,Davy Champion
51-3,ERIC GIRARDIN,RACHEL PAILLARD,,REM,LR,,0.2926358881332637,0.22721281172694024,,Davy Champion
51-4,THIERRY BESSON,LISE MAGNIER,,FN,LR,,0.2830114090037953,0.2650629781570484,,Davy Champion
53-1,BEATRICE MOTTIER,GUILLAUME GAROT,,REM,SOC,,0.2642442869924625,0.2391137200932665,,Davy Champion
53-2,GUILLAUME CHEVROLLIER,GERALDINE BANNIER,,LR,MDM,,0.3895681102003274,0.272195302057412,,Davy Champion
